Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,51.840000,52.275002,51.667500,51.882500,50.127365,98444800
2018-08-13,52.327499,52.737499,51.924999,52.217499,50.451027,103563600
2018-08-14,52.540001,52.639999,52.064999,52.437500,50.663593,82992000
2018-08-15,52.305000,52.685001,52.082500,52.560001,50.781952,115230400
2018-08-16,52.937500,53.452499,52.867500,53.330002,51.525898,114001600
2018-08-17,53.360001,54.487499,53.290001,54.395000,52.554878,141708000
2018-08-20,54.525002,54.794998,53.777500,53.865002,52.042809,121150800
2018-08-21,54.200001,54.297501,53.507500,53.759998,51.941349,104639200
2018-08-22,53.525002,54.090000,53.459999,53.762501,51.943775,76072400
2018-08-23,53.662498,54.262501,53.650002,53.872501,52.050053,75532800
2018-08-24,54.150002,54.224998,53.777500,54.040001,52.211876,73905600
2018-08-27,54.287498,54.685001,54.082500,54.485001,52.641827,82100400
2018-08-28,54.752499,55.134998,54.730000,54.924999,53.066940,91107200
2018-08-29,55.037498,55.872501,54.852501,55.744999,53.859203,109019200
2018-08-30,55.812500,57.064999,55.599998,56.257500,54.354362,195175200
2018-08-31,56.627499,57.217499,56.500000,56.907501,54.982376,173360400
2018-09-04,57.102501,57.294998,56.657501,57.090000,55.158707,109560400
2018-09-05,57.247501,57.417500,56.275002,56.717499,54.798801,133332000
2018-09-06,56.557499,56.837502,55.325001,55.775002,53.888187,137160000
2018-09-07,55.462502,56.342499,55.177502,55.325001,53.453411,150479200
2018-09-10,55.237499,55.462502,54.117500,54.582500,52.736034,158066000
2018-09-11,54.502499,56.075001,54.139999,55.962502,54.069351,142996000
2018-09-12,56.235001,56.250000,54.959999,55.267502,53.397861,197114800
2018-09-13,55.880001,57.087502,55.642502,56.602501,54.687702,166825600
2018-09-14,56.437500,56.709999,55.630001,55.959999,54.066936,127997200
2018-09-17,55.537498,55.737499,54.317501,54.470001,52.627331,148780400
2018-09-18,54.447498,55.462502,54.279999,54.560001,52.714291,126286800
2018-09-19,54.625000,54.904999,53.825001,54.592499,52.745686,108495200
2018-09-20,55.060001,55.570000,54.787498,55.007500,53.146652,106435200
